title,url
馬力突破 600 匹！BMW 推 i4 M60 xDrive 全新車型，i4 eDrive35/40 續航力也有優化,https://www.ddcar.com.tw/blogs/articles/detail/40227/%E9%A6%AC%E5%8A%9B%E7%AA%81%E7%A0%B4-600-%E5%8C%B9%EF%BC%81BMW-%E6%8E%A8-i4-M60-xDrive-%E5%85%A8%E6%96%B0%E8%BB%8A%E5%9E%8B%EF%BC%8Ci4-eDrive35-40-%E7%BA%8C%E8%88%AA%E5%8A%9B%E4%B9%9F%E6%9C%89%E5%84%AA%E5%8C%96
6/8 前充電抽台東 GAYA Hotel 潮渡假酒店住宿券！U-POWER 桃園八德東勇站上線啟用,https://www.ddcar.com.tw/blogs/articles/detail/40213/6-8-%E5%89%8D%E5%85%85%E9%9B%BB%E6%8A%BD%E5%8F%B0%E6%9D%B1-GAYA-Hotel-%E6%BD%AE%E6%B8%A1%E5%81%87%E9%85%92%E5%BA%97%E4%BD%8F%E5%AE%BF%E5%88%B8%EF%BC%81U-POWER-%E6%A1%83%E5%9C%92%E5%85%AB%E5%BE%B7%E6%9D%B1%E5%8B%87%E7%AB%99%E4%B8%8A%E7%B7%9A%E5%95%9F%E7%94%A8
行駛約 20 萬公里後平均健康度仍接近 90％，最新研調顯示電動車電池其實還頗耐用,https://www.ddcar.com.tw/blogs/articles/detail/40199/%E8%A1%8C%E9%A7%9B%E7%B4%84-20-%E8%90%AC%E5%85%AC%E9%87%8C%E5%BE%8C%E5%B9%B3%E5%9D%87%E5%81%A5%E5%BA%B7%E5%BA%A6%E4%BB%8D%E6%8E%A5%E8%BF%91-90%EF%BC%85%EF%BC%8C%E6%9C%80%E6%96%B0%E7%A0%94%E8%AA%BF%E9%A1%AF%E7%A4%BA%E9%9B%BB%E5%8B%95%E8%BB%8A%E9%9B%BB%E6%B1%A0%E5%85%B6%E5%AF%A6%E9%82%84%E9%A0%97%E8%80%90%E7%94%A8
禮遇大滿貫！賓士 EQE SUV 迎來購車優惠高峰，全面升級電動豪華日常趁現在,https://www.ddcar.com.tw/blogs/articles/detail/40150/%E7%A6%AE%E9%81%87%E5%A4%A7%E6%BB%BF%E8%B2%AB%EF%BC%81%E8%B3%93%E5%A3%AB-EQE-SUV-%E8%BF%8E%E4%BE%86%E8%B3%BC%E8%BB%8A%E5%84%AA%E6%83%A0%E9%AB%98%E5%B3%B0%EF%BC%8C%E5%85%A8%E9%9D%A2%E5%8D%87%E7%B4%9A%E9%9B%BB%E5%8B%95%E8%B1%AA%E8%8F%AF%E6%97%A5%E5%B8%B8%E8%B6%81%E7%8F%BE%E5%9C%A8
EVOASIS 端午連假放福利，全台 52 座快充站 5/30-6/1 不限時段每度電 6.6 元,https://www.ddcar.com.tw/blogs/articles/detail/40221/EVOASIS-%E7%AB%AF%E5%8D%88%E9%80%A3%E5%81%87%E6%94%BE%E7%A6%8F%E5%88%A9%EF%BC%8C%E5%85%A8%E5%8F%B0-52-%E5%BA%A7%E5%BF%AB%E5%85%85%E7%AB%99-5-30-6-1-%E4%B8%8D%E9%99%90%E6%99%82%E6%AE%B5%E6%AF%8F%E5%BA%A6%E9%9B%BB-6.6-%E5%85%83
零百加速只要 3.8 秒！Luxgen n7 雙馬達四驅高性能車型第三季報到,https://www.ddcar.com.tw/blogs/articles/detail/40220/%E9%9B%B6%E7%99%BE%E5%8A%A0%E9%80%9F%E5%8F%AA%E8%A6%81-3.8-%E7%A7%92%EF%BC%81Luxgen-n7-%E9%9B%99%E9%A6%AC%E9%81%94%E5%9B%9B%E9%A9%85%E9%AB%98%E6%80%A7%E8%83%BD%E8%BB%8A%E5%9E%8B%E7%AC%AC%E4%B8%89%E5%AD%A3%E5%A0%B1%E5%88%B0
發現孩童獨留車內會主動發出警告避免憾事，特斯拉透過 OTA 啟用座艙雷達新功能,https://www.ddcar.com.tw/blogs/articles/detail/40216/%E7%99%BC%E7%8F%BE%E5%AD%A9%E7%AB%A5%E7%8D%A8%E7%95%99%E8%BB%8A%E5%85%A7%E6%9C%83%E4%B8%BB%E5%8B%95%E7%99%BC%E5%87%BA%E8%AD%A6%E5%91%8A%E9%81%BF%E5%85%8D%E6%86%BE%E4%BA%8B%EF%BC%8C%E7%89%B9%E6%96%AF%E6%8B%89%E9%80%8F%E9%81%8E-OTA-%E5%95%9F%E7%94%A8%E5%BA%A7%E8%89%99%E9%9B%B7%E9%81%94%E6%96%B0%E5%8A%9F%E8%83%BD
18 億元打造三蘆核心新據點：國都 Lexus＆Toyota 三重營業所開幕，U-POWER 電動車快充站同步進駐,https://www.ddcar.com.tw/blogs/articles/detail/40210/18-%E5%84%84%E5%85%83%E6%89%93%E9%80%A0%E4%B8%89%E8%98%86%E6%A0%B8%E5%BF%83%E6%96%B0%E6%93%9A%E9%BB%9E%EF%BC%9A%E5%9C%8B%E9%83%BD-Lexus%EF%BC%86Toyota-%E4%B8%89%E9%87%8D%E7%87%9F%E6%A5%AD%E6%89%80%E9%96%8B%E5%B9%95%EF%BC%8CU-POWER-%E9%9B%BB%E5%8B%95%E8%BB%8A%E5%BF%AB%E5%85%85%E7%AB%99%E5%90%8C%E6%AD%A5%E9%80%B2%E9%A7%90
解放駕駛雙手、提高乘客安全性，ARTC 車輛研究測試中心秀全台首輛 Level 3 自駕電巴,https://www.ddcar.com.tw/blogs/articles/detail/40212/%E8%A7%A3%E6%94%BE%E9%A7%95%E9%A7%9B%E9%9B%99%E6%89%8B%E3%80%81%E6%8F%90%E9%AB%98%E4%B9%98%E5%AE%A2%E5%AE%89%E5%85%A8%E6%80%A7%EF%BC%8CARTC-%E8%BB%8A%E8%BC%9B%E7%A0%94%E7%A9%B6%E6%B8%AC%E8%A9%A6%E4%B8%AD%E5%BF%83%E7%A7%80%E5%85%A8%E5%8F%B0%E9%A6%96%E8%BC%9B-Level-3-%E8%87%AA%E9%A7%95%E9%9B%BB%E5%B7%B4
全天不分時段一率只要 5.5 元，SharkParking 全站點端午連假充電優惠頗划算,https://www.ddcar.com.tw/blogs/articles/detail/40198/%E5%85%A8%E5%A4%A9%E4%B8%8D%E5%88%86%E6%99%82%E6%AE%B5%E4%B8%80%E7%8E%87%E5%8F%AA%E8%A6%81-5.5-%E5%85%83%EF%BC%8CSharkParking-%E5%85%A8%E7%AB%99%E9%BB%9E%E7%AB%AF%E5%8D%88%E9%80%A3%E5%81%87%E5%85%85%E9%9B%BB%E5%84%AA%E6%83%A0%E9%A0%97%E5%88%92%E7%AE%97
